z_threshold,vol_window,cooldown,horizon,vix_high_quantile,n_events,n_dates,mean_car,se_clustered,ci_lo,ci_hi,p_value,recovery_rate,median_car,mean_car_broad,mean_car_sector,mean_car_idio,diff_broad_minus_idio,mean_car_avol_q4,mean_car_avol_q1,diff_avol_q4_minus_q1,mean_car_high_vix,mean_car_low_vix,diff_high_minus_low_vix,ols_adj_r2,beta_crash_z,p_crash_z,beta_avol,p_avol,beta_rv20,p_rv20
-2.5,40,20,20,0.6,24646,3633,-0.0019474021375963757,0.0010224269108170508,-0.003951990085143211,5.718580995045953e-05,0.05689983207955857,0.47695366388054855,-0.0033877700140824696,-0.0022639979141535127,-0.001583568637778315,-0.0018897671771352402,-0.0003742307370182725,-0.0012110891097711417,-0.002248814022519094,0.0010377249127479522,-0.0009988955769798889,-0.002581945126174304,0.0015830495491944152,0.005116389568156521,-6.195236828878862e-05,0.935806443433767,-0.0023794942368792703,0.1734138255448987,0.04972162609681768,7.148155142208016e-05
-2.5,40,20,20,0.75,24646,3633,-0.0019474021375963757,0.0010224269108170508,-0.003951990085143211,5.718580995045953e-05,0.05689983207955857,0.47695366388054855,-0.0033877700140824696,-0.0022639979141535127,-0.001583568637778315,-0.0018897671771352402,-0.0003742307370182725,-0.0012110891097711417,-0.002248814022519094,0.0010377249127479522,-0.001478303927065544,-0.0021063675133727415,0.0006280635863071976,0.005116389568156521,-6.195236828878862e-05,0.935806443433767,-0.0023794942368792703,0.1734138255448987,0.04972162609681768,7.148155142208016e-05
-2.5,40,20,20,0.9,24646,3633,-0.0019474021375963757,0.0010224269108170508,-0.003951990085143211,5.718580995045953e-05,0.05689983207955857,0.47695366388054855,-0.0033877700140824696,-0.0022639979141535127,-0.001583568637778315,-0.0018897671771352402,-0.0003742307370182725,-0.0012110891097711417,-0.002248814022519094,0.0010377249127479522,-0.0023172556254399757,-0.0019048310004561118,-0.0004124246249838639,0.005116389568156521,-6.195236828878862e-05,0.935806443433767,-0.0023794942368792703,0.1734138255448987,0.04972162609681768,7.148155142208016e-05
-2.5,40,20,60,0.6,24438,3597,-0.0021283898642352793,0.0018870338690292483,-0.005828153568138511,0.0015713738396679524,0.2594364248208111,0.4811768557165071,-0.0050167578739934715,-0.00031399783519386486,0.0036291933273738513,-0.004047565708249931,0.0037335678730560664,0.00017944123168408898,-0.0022681562905807586,0.0024475975222648474,0.002438338998015097,-0.005199859615062359,0.007638198613077456,0.011717318775991026,0.0008204991260064247,0.3127424218664302,-0.002342805171175039,0.3324005538094986,0.12267996471214919,5.368070391234266e-11
-2.5,40,20,60,0.75,24438,3597,-0.0021283898642352793,0.0018870338690292483,-0.005828153568138511,0.0015713738396679524,0.2594364248208111,0.4811768557165071,-0.0050167578739934715,-0.00031399783519386486,0.0036291933273738513,-0.004047565708249931,0.0037335678730560664,0.00017944123168408898,-0.0022681562905807586,0.0024475975222648474,0.004486191599032709,-0.004334453484419386,0.008820645083452094,0.011717318775991026,0.0008204991260064247,0.3127424218664302,-0.002342805171175039,0.3324005538094986,0.12267996471214919,5.368070391234266e-11
-2.5,40,20,60,0.9,24438,3597,-0.0021283898642352793,0.0018870338690292483,-0.005828153568138511,0.0015713738396679524,0.2594364248208111,0.4811768557165071,-0.0050167578739934715,-0.00031399783519386486,0.0036291933273738513,-0.004047565708249931,0.0037335678730560664,0.00017944123168408898,-0.0022681562905807586,0.0024475975222648474,-0.0033160542458898043,-0.0019903877546651187,-0.0013256664912246856,0.011717318775991026,0.0008204991260064247,0.3127424218664302,-0.002342805171175039,0.3324005538094986,0.12267996471214919,5.368070391234266e-11
-2.5,40,40,5,0.6,20980,3454,-0.0013236053660912119,0.0005500308399696801,-0.0024020240138384248,-0.00024518671834399897,0.01616192981449754,0.47969494756911346,-0.001329401094603444,-0.0011957311418951645,-0.0024787080137838417,-0.0011757891391924462,-1.9942002702718264e-05,-0.0011562527426352569,-0.0016619815277402654,0.0005057287851050086,-0.001052813587366552,-0.0015043843303634017,0.0004515707429968497,0.011480298775799036,-0.000376400343684298,0.39002189825880473,-0.002850627520523338,0.004995553162808714,0.04342165407239099,1.6514995251661725e-06
-2.5,40,40,5,0.75,20980,3454,-0.0013236053660912119,0.0005500308399696801,-0.0024020240138384248,-0.00024518671834399897,0.01616192981449754,0.47969494756911346,-0.001329401094603444,-0.0011957311418951645,-0.0024787080137838417,-0.0011757891391924462,-1.9942002702718264e-05,-0.0011562527426352569,-0.0016619815277402654,0.0005057287851050086,-0.001134494503654618,-0.0013867385047938983,0.0002522440011392803,0.011480298775799036,-0.000376400343684298,0.39002189825880473,-0.002850627520523338,0.004995553162808714,0.04342165407239099,1.6514995251661725e-06
-2.5,40,40,5,0.9,20980,3454,-0.0013236053660912119,0.0005500308399696801,-0.0024020240138384248,-0.00024518671834399897,0.01616192981449754,0.47969494756911346,-0.001329401094603444,-0.0011957311418951645,-0.0024787080137838417,-0.0011757891391924462,-1.9942002702718264e-05,-0.0011562527426352569,-0.0016619815277402654,0.0005057287851050086,-0.00255255334041835,-0.0011864044239035744,-0.0013661489165147757,0.011480298775799036,-0.000376400343684298,0.39002189825880473,-0.002850627520523338,0.004995553162808714,0.04342165407239099,1.6514995251661725e-06
-2.5,40,40,10,0.6,20958,3449,-0.0008136745710375336,0.0007241260315377654,-0.002233433893708164,0.0006060847516330965,0.26123369278670006,0.4833953621528772,-0.0016375424363714863,0.0002523228164169488,-0.00022317615604011112,-0.0014295397844969308,0.0016818626009138795,-0.00029280367358366845,-0.0020672006219493422,0.0017743969483656739,0.00026294482138219087,-0.0015336782558001147,0.0017966230771823055,0.008152559805574278,-0.00023859860066357663,0.7122326238650662,-0.0014314506233195638,0.3058040042392295,0.0474405725591802,1.1533661821423991e-06
