group,tau,mean_car,lo,hi,n_events
sector,38,0.0008486870070151233,-0.005587498263035837,0.007450616712232979,1425
sector,39,0.001143679970045675,-0.005380846224457869,0.00799113680011645,1425
sector,40,0.0007213086816294274,-0.005927518500546379,0.007451377788326765,1425
sector,41,0.0006243373929390031,-0.006118292935972512,0.007267671631462091,1425
sector,42,0.0006838190290862457,-0.006105539774820471,0.0075249248210005745,1425
sector,43,0.00042775644078118315,-0.00659587147454425,0.007222197951222316,1425
sector,44,0.0005386485939192615,-0.006468188603671416,0.007448272299302084,1425
sector,45,0.0013325759145384783,-0.005907938590595684,0.008499244089695544,1425
sector,46,0.0028245113621222138,-0.004627130756087028,0.009909584580449939,1425
sector,47,0.003754088154220713,-0.003909665557821132,0.01151477229165337,1425
sector,48,0.005363774566960359,-0.002559823141064329,0.01339548852605314,1425
sector,49,0.002969877935974447,-0.004691416290615006,0.010657649105903966,1425
sector,50,0.0031696268228721567,-0.004523286778882218,0.01048072061642697,1425
sector,51,0.0026084029022783563,-0.005174897929611624,0.010018063513120972,1425
sector,52,0.0029645551279454457,-0.004607983617558782,0.010477830898240904,1425
sector,53,0.0041206077786576185,-0.003440806668577666,0.011560985560109295,1425
sector,54,0.0022367539122853854,-0.005228007676307072,0.009277643528411672,1425
sector,55,0.004455123415178738,-0.0030749463935245804,0.011802428653600993,1425
sector,56,0.00337238524088938,-0.004329579389236305,0.011029780524479723,1425
sector,57,0.0025078150446058655,-0.00550440294445097,0.010428162329857549,1425
sector,58,0.0039042984360256913,-0.004035325523695024,0.011933338178031385,1425
sector,59,0.0035431019810376664,-0.0044618377132783745,0.011623159659292184,1425
sector,60,0.003243362309012139,-0.004641343313969536,0.011002582802499139,1425
idiosyncratic,0,0.0,0.0,0.0,8089
idiosyncratic,1,-0.0005055512970378874,-0.0010028515336796852,-3.5669339703598035e-05,8089
idiosyncratic,2,-0.0008389882383286558,-0.0014425845922961464,-0.00020230089930153825,8089
idiosyncratic,3,-0.0010363077657042702,-0.0017731023115471992,-0.0002826068870510459,8089
idiosyncratic,4,-0.00157376988704848,-0.0023914426241015032,-0.0007098379221783935,8089
idiosyncratic,5,-0.0017983305924811647,-0.002659818891339843,-0.0008961838363942057,8089
idiosyncratic,6,-0.0016241416525326435,-0.0025850005001254693,-0.0006636027204946574,8089
idiosyncratic,7,-0.0016618439239225067,-0.0026784057571337095,-0.0006431323111894605,8089
idiosyncratic,8,-0.002039597099936248,-0.0030906521777737126,-0.0009610686484263531,8089
idiosyncratic,9,-0.0019841291091635136,-0.003085240372970134,-0.000839421671989823,8089
idiosyncratic,10,-0.001761368232427264,-0.0029046270459014735,-0.0005857252284118467,8089
idiosyncratic,11,-0.0021247433587800813,-0.0033572362752450255,-0.0008955148247179967,8089
idiosyncratic,12,-0.0023491583728002343,-0.003640178296379651,-0.0011045394874814713,8089
idiosyncratic,13,-0.0025406335063549754,-0.003888950907167151,-0.0012082965934329243,8089
idiosyncratic,14,-0.00228973328464159,-0.0036577558280576693,-0.0008650692836327934,8089
idiosyncratic,15,-0.002464943505951484,-0.003962572438716463,-0.0009501014510466526,8089
idiosyncratic,16,-0.002140918660807813,-0.0036773654387747567,-0.00048581765798123725,8089
idiosyncratic,17,-0.002353130942223357,-0.003995347141278757,-0.0006036017490288619,8089
idiosyncratic,18,-0.0025514429674894164,-0.0042062148412405536,-0.000928638774583433,8089
idiosyncratic,19,-0.0024793060263781095,-0.004218524610134796,-0.0007654344631915325,8089
idiosyncratic,20,-0.002323885274891789,-0.004069211495138464,-0.0006153679109509338,8089
idiosyncratic,21,-0.0018584317160423717,-0.0036106631619995597,-0.00016711442634720296,8089
idiosyncratic,22,-0.0018101749916631866,-0.0035971780820959706,-8.693431695108714e-05,8089
idiosyncratic,23,-0.002107529380101471,-0.0039084821655114045,-0.0003332704334681584,8089
idiosyncratic,24,-0.002353654157110134,-0.004136046745647957,-0.0005465922755175619,8089
idiosyncratic,25,-0.0019400495571497251,-0.003806838963070968,-9.744411078605233e-05,8089
idiosyncratic,26,-0.0017896860756368973,-0.003678512265426836,0.00015992108489801713,8089
idiosyncratic,27,-0.001995699902021557,-0.0038947619106325477,-2.4018770600458298e-05,8089
idiosyncratic,28,-0.002643118568563097,-0.0046742731078297664,-0.0006398696213179126,8089
idiosyncratic,29,-0.0028778943713797683,-0.004906591342386115,-0.0008641712447205698,8089
idiosyncratic,30,-0.002836632418033732,-0.004853988983479655,-0.0007420986298600024,8089
idiosyncratic,31,-0.0030036312689691686,-0.005055899489940319,-0.0009148375773044575,8089
idiosyncratic,32,-0.002883721247209794,-0.004985882046397686,-0.0007831414659632096,8089
idiosyncratic,33,-0.003023582304254566,-0.005180910650719211,-0.0008908126422634503,8089
idiosyncratic,34,-0.0032007493542051237,-0.005384355436215077,-0.0010636917548143272,8089
idiosyncratic,35,-0.0032853141071853896,-0.005515243978144102,-0.0010352575078463467,8089
idiosyncratic,36,-0.0038250587212667387,-0.0061444255394162576,-0.0015402705119004086,8089
idiosyncratic,37,-0.0038882062603108405,-0.006211419804428739,-0.0015757638815666907,8089
idiosyncratic,38,-0.0035878583580251787,-0.0059089149489744,-0.0013244240741319237,8089
idiosyncratic,39,-0.004038578999534903,-0.006363453357238553,-0.0017115592453277328,8089
idiosyncratic,40,-0.004133352003286605,-0.00651372859362872,-0.0017718419893841297,8089
idiosyncratic,41,-0.004337068736699975,-0.006734340859907206,-0.001938693232537054,8089
idiosyncratic,42,-0.004220871307016059,-0.006554896849231221,-0.00185935921005551,8089
idiosyncratic,43,-0.004418144814608572,-0.0068245673228445715,-0.002026514080102888,8089
idiosyncratic,44,-0.004858307182441196,-0.007249856754318801,-0.0024704240132133654,8089
idiosyncratic,45,-0.005155960022482786,-0.007614566828973757,-0.0027544448284109136,8089
idiosyncratic,46,-0.005409933261171743,-0.007837026778026838,-0.0029600867796364064,8089
idiosyncratic,47,-0.0056631516587101,-0.008122917146714051,-0.0031780898304879443,8089
idiosyncratic,48,-0.0057934355141383,-0.008255230139221284,-0.0032632102852192648,8089
idiosyncratic,49,-0.005609075884856321,-0.008129848309545138,-0.002939512775228481,8089
idiosyncratic,50,-0.005740462502428744,-0.008357249158836852,-0.0030667580228895177,8089
idiosyncratic,51,-0.005766164032429931,-0.008435386827377796,-0.0029843164429354026,8089
idiosyncratic,52,-0.0054881892935502415,-0.008178766184875931,-0.0026440136850010842,8089
idiosyncratic,53,-0.005288554558544516,-0.007999503087822617,-0.0024654863290969925,8089
idiosyncratic,54,-0.00514659647106038,-0.007864276849862245,-0.002267386924487246,8089
idiosyncratic,55,-0.005632099341820313,-0.008304455114814339,-0.0028061914333258275,8089
idiosyncratic,56,-0.005530586211825548,-0.008318240547386061,-0.0026171357746646463,8089
idiosyncratic,57,-0.0055284996859271554,-0.00830366768584469,-0.0026825101280157637,8089
idiosyncratic,58,-0.005562442676303924,-0.008400389861879578,-0.002677889889402296,8089
idiosyncratic,59,-0.0059181185717971044,-0.008791592191086973,-0.003058686998328205,8089
idiosyncratic,60,-0.005916983644398615,-0.008798615609705119,-0.002973577572025881,8089
avol_q4_highest,0,0.0,0.0,0.0,3625
avol_q4_highest,1,-0.0007910392333131845,-0.0017002406435499193,9.856646047148718e-05,3625
avol_q4_highest,2,-0.0012273126941943948,-0.0024760387136060565,2.8514584697376255e-05,3625
avol_q4_highest,3,-0.001787170789684912,-0.0032068117271376382,-0.0003698949422358595,3625
avol_q4_highest,4,-0.0015284097638573778,-0.0031408897015954237,4.0502452868255035e-05,3625
avol_q4_highest,5,-0.002140138958944252,-0.003797157527784469,-0.0005222916416059339,3625
avol_q4_highest,6,-0.0011093609162575791,-0.0029972974957758573,0.0007588761080724131,3625
avol_q4_highest,7,-0.0009083521994800877,-0.0029440825922403616,0.0010793017960056203,3625
avol_q4_highest,8,-0.0014254912269441428,-0.003483669883751877,0.0006682109051365084,3625
avol_q4_highest,9,-0.0016545498466364044,-0.0038025994865325836,0.0005506368197641848,3625
avol_q4_highest,10,-0.0019381679458680627,-0.004154754575232315,0.0002463990633788361,3625
avol_q4_highest,11,-0.0009595963234932711,-0.0033886567747297563,0.001409582833200343,3625
avol_q4_highest,12,-0.0013080691665128086,-0.0038449172694463977,0.0011045878272328668,3625
avol_q4_highest,13,-0.0013606510944957485,-0.0038824145499767866,0.0011694889960201073,3625
avol_q4_highest,14,-0.00155475974310921,-0.004076161001106136,0.0010034400551317756,3625
avol_q4_highest,15,-0.0018852132179233954,-0.004499272420213629,0.0008582038057694432,3625
avol_q4_highest,16,-0.001336191919452401,-0.004072942612721038,0.0014656021513275274,3625
avol_q4_highest,17,-0.0017453611111856722,-0.004500350721940412,0.0010325671790731088,3625
avol_q4_highest,18,-0.001578064233499036,-0.0044538566636534455,0.0013175814848717861,3625
avol_q4_highest,19,-0.0018303134253468394,-0.004729026250280399,0.0010783736837291435,3625
avol_q4_highest,20,-0.0014841598038218234,-0.00437025005023999,0.0015112318008039434,3625
avol_q4_highest,21,-0.0002940886422792732,-0.0033016745941174775,0.002720117067083755,3625
avol_q4_highest,22,-0.0005326842317701951,-0.0034640146291253166,0.0024747332914617937,3625
avol_q4_highest,23,-0.0002849593227977029,-0.0033265964961715854,0.0027544075538815647,3625
avol_q4_highest,24,-0.00010926292487868332,-0.0032617933575364976,0.0031712873647352395,3625
avol_q4_highest,25,0.00021747075266855345,-0.003041715983273841,0.0034633140783334134,3625
avol_q4_highest,26,0.0002845577611637884,-0.0030704811315213996,0.0037062406794801006,3625
avol_q4_highest,27,7.9799210213027e-06,-0.003451181949230728,0.003475598794390464,3625
avol_q4_highest,28,-0.0006259302953406271,-0.004117484065546321,0.002894750405628289,3625
avol_q4_highest,29,-0.0012431945841304937,-0.004802419605272237,0.002315781216732835,3625
avol_q4_highest,30,-0.0010929437175572808,-0.004694871450779062,0.0025849085187912226,3625
avol_q4_highest,31,-0.0010901719011023687,-0.0047532059127061346,0.0027230193429655628,3625
avol_q4_highest,32,-0.0006485158338650413,-0.004332856667633415,0.003135168770976102,3625
avol_q4_highest,33,-0.0005976276299138555,-0.0043039210264944625,0.003201742204152024,3625
avol_q4_highest,34,-0.0005394718419818165,-0.004290856096290317,0.0032616142814897563,3625
avol_q4_highest,35,-0.0008436468298886545,-0.004636292259798756,0.0029820172574587453,3625
avol_q4_highest,36,-0.0005465027815638509,-0.0044570372918143275,0.0033432331384460577,3625
avol_q4_highest,37,-0.0008397057516783659,-0.0047834571782571665,0.0030461509219091476,3625
avol_q4_highest,38,8.374822086772444e-05,-0.0039232837528403175,0.004121278906048753,3625
avol_q4_highest,39,-0.00020622618311969958,-0.0043458205352841376,0.0039035192662229138,3625
avol_q4_highest,40,-0.0003784483403607942,-0.004492899821520965,0.0038255512063846623,3625
avol_q4_highest,41,-0.0003073977050374004,-0.004475164455585469,0.0038905742873271087,3625
avol_q4_highest,42,-0.00032934166603535515,-0.004507459240993281,0.003867915770104862,3625
avol_q4_highest,43,-0.000151074392552537,-0.004419884762041828,0.004192505717798834,3625
